Estudiante,Matrícula,Curso,Acción PME,Código Acción,Horas Asistencia,Talleres Asistidos,Fecha Registro
Fernando Guzmán,MAT-2026-5232,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,7.6,3,26/08/2026
José Oyarzo,MAT-2026-8630,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,8.0,4,26/08/2026
Miguel Rosales,MAT-2026-5327,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,9.8,4,26/08/2026
Francisco Meza,MAT-2026-8825,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,20.0,9,26/08/2026
José Salazar,MAT-2026-8526,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,12.9,6,26/08/2026
Verónica Cortés,MAT-2026-4429,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,5.6,2,26/08/2026
Pedro Cortés,MAT-2026-2972,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,18.0,8,26/08/2026
Sonia Carrillo,MAT-2026-2166,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,16.5,8,26/08/2026
María Romero,MAT-2026-7557,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,16.0,8,26/08/2026
Carla Sepúlveda,MAT-2026-3136,7° Básico,Programa de Liderazgo Estudiantil,ACC-2026-004,8.5,4,26/08/2026
Elvira Díaz,MAT-2026-7668,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,14.9,7,26/08/2026
Florencia Tapia,MAT-2026-6491,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,14.6,7,26/08/2026
Viviana Millán,MAT-2026-2254,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,11.4,5,26/08/2026
Francisca Castillo,MAT-2026-5507,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,14.6,7,26/08/2026
Tatiana Meneses,MAT-2026-1831,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,8.9,4,26/08/2026
Gabriel Barahona,MAT-2026-8397,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,4.7,2,26/08/2026
Renato Guerra,MAT-2026-1789,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,18.8,9,26/08/2026
Gabriela Fernández,MAT-2026-1248,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,4.5,2,26/08/2026
Raúl Romero,MAT-2026-4717,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,16.1,8,26/08/2026
Susana Carrasco,MAT-2026-1111,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,13.6,6,26/08/2026
Olga Miranda,MAT-2026-5397,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,15.4,7,26/08/2026
María Guerrero,MAT-2026-1932,6° Básico,Mediación de Conflictos entre Pares,ACC-2026-006,6.3,3,26/08/2026
Raúl Hidalgo,MAT-2026-7383,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,12.1,6,26/08/2026
María Soto,MAT-2026-6149,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,11.1,5,26/08/2026
Iván Molina,MAT-2026-9635,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,9.3,4,26/08/2026
Néstor Fuentealba,MAT-2026-1521,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,13.5,6,26/08/2026
Benjamín Cabrera,MAT-2026-3209,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,11.2,5,26/08/2026
Carolina Cuevas,MAT-2026-9427,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,17.2,8,26/08/2026
Alberto Donoso,MAT-2026-8318,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,7.4,3,26/08/2026
Marcela Contreras,MAT-2026-1553,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,14.0,7,26/08/2026
Benjamín Arancibia,MAT-2026-4339,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,11.9,5,26/08/2026
Jorge Ibarra,MAT-2026-5339,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,16.9,8,26/08/2026
Isabel Reyes,MAT-2026-5186,8° Básico,Adquisición Tablets Laboratorio Ciencias,ACC-2026-008,9.1,4,26/08/2026
Victoria Salgado,MAT-2026-6358,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,17.4,8,26/08/2026
Laura Marín,MAT-2026-4309,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,8.6,4,26/08/2026
Macarena León,MAT-2026-2438,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,9.2,4,26/08/2026
Francia Miranda,MAT-2026-3940,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,5.3,2,26/08/2026
Jeremy Osorio,MAT-2026-8792,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,12.5,6,26/08/2026
Pamela Sanhueza,MAT-2026-2787,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,18.5,9,26/08/2026
Rolando Órdenes,MAT-2026-5710,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,4.9,2,26/08/2026
Alex Catalán,MAT-2026-8938,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,9.6,4,26/08/2026
Gloria Vejar,MAT-2026-1677,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,14.7,7,26/08/2026
Reinaldo Marín,MAT-2026-3823,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,18.9,9,26/08/2026
Brayan Duarte,MAT-2026-7117,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,20.0,9,26/08/2026
Marina Ramírez,MAT-2026-6365,5° Básico,Reforzamiento Habilidades Socioemocionales,ACC-2026-010,4.9,2,26/08/2026
María Soto,MAT-2026-6149,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Iván Molina,MAT-2026-9635,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Néstor Fuentealba,MAT-2026-1521,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Josefina Santibáñez,MAT-2026-6653,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Gloria Vásquez,MAT-2026-3316,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Benjamín Cabrera,MAT-2026-3209,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Juan Sandoval,MAT-2026-4077,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Carolina Cuevas,MAT-2026-9427,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Isaac González,MAT-2026-1113,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Alberto Donoso,MAT-2026-8318,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Marcela Contreras,MAT-2026-1553,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Benjamín Arancibia,MAT-2026-4339,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Jorge Ibarra,MAT-2026-5339,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Isabel Reyes,MAT-2026-5186,8° Básico,Taller recreativo de Paint War,ACC-2026-013,15.8,0,26/08/2026
Ruth Fuentes,MAT-2026-7833,5° Básico,Taller de computación y programación,ACC-2026-015,12.0,0,26/08/2026
Victoria Salgado,MAT-2026-6358,5° Básico,Taller de computación y programación,ACC-2026-015,12.0,0,26/08/2026
Laura Marín,MAT-2026-4309,5° Básico,Taller de computación y programación,ACC-2026-015,12.0,0,26/08/2026
Macarena León,MAT-2026-2438,5° Básico,Taller recreativo de Paint War,ACC-2026-013,20.0,0,26/08/2026
Jeremy Osorio,MAT-2026-8792,5° Básico,Taller Prueba Matemática,ACC-2026-016,5.0,0,26/08/2026
Pamela Sanhueza,MAT-2026-2787,5° Básico,Taller Prueba Matemática,ACC-2026-016,20.0,0,26/08/2026
Brayan Duarte,MAT-2026-7117,5° Básico,Taller Prueba Matemática,ACC-2026-016,2.0,0,26/08/2026
Ruth Fuentes,MAT-2026-7833,5° Básico,Taller Comprensión lectora,ACC-2026-017,5.0,0,26/08/2026
Laura Marín,MAT-2026-4309,5° Básico,Taller Comprensión lectora,ACC-2026-017,45.0,0,26/08/2026
Carla Sepúlveda,MAT-2026-3136,7° Básico,Convivencia escolar,ACC-2026-018,15.0,0,26/08/2026
Fredy Espinoza,MAT-2026-3455,7° Básico,Convivencia escolar,ACC-2026-018,15.0,0,26/08/2026
Antonella Sanhueza,MAT-2026-5332,7° Básico,Convivencia escolar,ACC-2026-018,5.0,0,26/08/2026
José Oyarzo,MAT-2026-8630,7° Básico,Taller de Refuerzo Matemático,ACC-2026-001,45.0,0,26/08/2026
Miguel Rosales,MAT-2026-5327,7° Básico,Taller de Refuerzo Matemático,ACC-2026-001,45.0,0,26/08/2026
Luis Vidal,MAT-2026-3583,7° Básico,Taller de Refuerzo Matemático,ACC-2026-001,45.0,0,26/08/2026
Pedro Cortés,MAT-2026-2972,7° Básico,Convivencia escolar,ACC-2026-018,40.0,0,26/08/2026
Sonia Carrillo,MAT-2026-2166,7° Básico,Convivencia escolar,ACC-2026-018,40.0,0,26/08/2026
Darío Chacón,MAT-2026-2415,7° Básico,Convivencia escolar,ACC-2026-018,40.0,0,26/08/2026
Alex Catalán,MAT-2026-8938,5° Básico,Taller Comprensión lectora,ACC-2026-017,20.0,0,26/08/2026
Gloria Vejar,MAT-2026-1677,5° Básico,Taller Comprensión lectora,ACC-2026-017,20.0,0,26/08/2026
Brayan Duarte,MAT-2026-7117,5° Básico,Taller Comprensión lectora,ACC-2026-017,25.0,0,26/08/2026
